"","Element ID","/Layer_1/Rice Supply Requirement(AF/year)"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,0
"16",16,0
"17",17,0
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,0
"35",35,0
"36",36,0
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,0
"62",62,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"67",67,0
"68",68,0
"69",69,0
"70",70,0
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,0
"81",81,0
"82",82,0
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,0
"95",95,0
"96",96,0
"97",97,0
"98",98,0
"99",99,0
"100",100,0
"101",101,0
"102",102,0
"103",103,0
"104",104,0
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,0
"111",111,0
"112",112,0
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,0
"122",122,0
"123",123,0
"124",124,0
"125",125,0
"126",126,0
"127",127,0
"128",128,0
"129",129,0
"130",130,0
"131",131,0
"132",132,0
"133",133,0
"134",134,0
"135",135,0
"136",136,0
"137",137,0
"138",138,0
"139",139,0
"140",140,0
"141",141,0
"142",142,0
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,0
"156",156,0
"157",157,0
"158",158,0
"159",159,0
"160",160,0
"161",161,0
"162",162,0
"163",163,0
"164",164,0
"165",165,0
"166",166,0
"167",167,0
"168",168,0
"169",169,0
"170",170,0
"171",171,0
"172",172,0
"173",173,0
"174",174,0
"175",175,0
"176",176,0
"177",177,0
"178",178,0
"179",179,0
"180",180,0
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,0
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,0
"192",192,0
"193",193,0
"194",194,0
"195",195,0
"196",196,0
"197",197,0
"198",198,0
"199",199,0
"200",200,0
"201",201,0
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,0
"207",207,0
"208",208,0
"209",209,0
"210",210,0
"211",211,0
"212",212,0
"213",213,0
"214",214,0
"215",215,0
"216",216,0
"217",217,0
"218",218,0
"219",219,0
"220",220,0
"221",221,0
"222",222,0
"223",223,0
"224",224,0
"225",225,0
"226",226,0
"227",227,0
"228",228,0
"229",229,0
"230",230,0
"231",231,0
"232",232,0
"233",233,0
"234",234,0
"235",235,0
"236",236,0
"237",237,0
"238",238,0
"239",239,0
"240",240,0
"241",241,0
"242",242,0
"243",243,0
"244",244,0
"245",245,0
"246",246,0
"247",247,0
"248",248,0
"249",249,0
"250",250,0
"251",251,0
"252",252,0
"253",253,0
"254",254,0
"255",255,0
"256",256,0
"257",257,0
"258",258,0
"259",259,0
"260",260,0
"261",261,0
"262",262,0
"263",263,0
"264",264,0
"265",265,0
"266",266,0
"267",267,0
"268",268,0
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,0
"274",274,0
"275",275,0
"276",276,0
"277",277,0
"278",278,0
"279",279,0
"280",280,0
"281",281,0
"282",282,0
"283",283,0
"284",284,0
"285",285,0
"286",286,0
"287",287,0
"288",288,0
"289",289,0
"290",290,0
"291",291,0
"292",292,0
"293",293,0
"294",294,0
"295",295,0
"296",296,0
"297",297,0
"298",298,0
"299",299,0
"300",300,0
"301",301,0
"302",302,0
"303",303,0
"304",304,0
"305",305,0
"306",306,0
"307",307,0
"308",308,0
"309",309,0
"310",310,0
"311",311,0
"312",312,0
"313",313,0
"314",314,0
"315",315,0
"316",316,0
"317",317,0
"318",318,0
"319",319,0
"320",320,0
"321",321,0
"322",322,0
"323",323,0
"324",324,0
"325",325,0
"326",326,0
"327",327,0
"328",328,0
"329",329,0
"330",330,0
"331",331,0
"332",332,0
"333",333,0
"334",334,0
"335",335,0
"336",336,0
"337",337,0
"338",338,0
"339",339,0
"340",340,0
"341",341,0
"342",342,0
"343",343,0
"344",344,0
"345",345,0
"346",346,0
"347",347,0
"348",348,0
"349",349,0
"350",350,0
"351",351,0
"352",352,0
"353",353,0
"354",354,0
"355",355,0
"356",356,0
"357",357,0
"358",358,0
"359",359,0
"360",360,0
"361",361,0
"362",362,0
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,0
"373",373,0
"374",374,0
"375",375,0
"376",376,0
"377",377,0
"378",378,0
"379",379,0
"380",380,0
"381",381,0
"382",382,0
"383",383,0
"384",384,0
"385",385,0
"386",386,0
"387",387,0
"388",388,0
"389",389,0
"390",390,0
"391",391,0
"392",392,0
"393",393,0
"394",394,0
"395",395,0
"396",396,0
"397",397,0
"398",398,0
"399",399,0
"400",400,0
"401",401,0
"402",402,0
"403",403,0
"404",404,0
"405",405,0
"406",406,0
"407",407,0
"408",408,0
"409",409,0
"410",410,0
"411",411,0
"412",412,0
"413",413,0
"414",414,0
"415",415,0
"416",416,0
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,0
"422",422,0
"423",423,0
"424",424,0
"425",425,0
"426",426,0
"427",427,0
"428",428,0
"429",429,0
"430",430,0
"431",431,0
"432",432,0
"433",433,0
"434",434,0
"435",435,0
"436",436,0
"437",437,0
"438",438,0
"439",439,0
"440",440,0
"441",441,0
"442",442,0
"443",443,0
"444",444,0
"445",445,0
"446",446,0
"447",447,0
"448",448,0
"449",449,0
"450",450,0
"451",451,0
"452",452,0
"453",453,0
"454",454,0
"455",455,0
"456",456,0
"457",457,0
"458",458,0
"459",459,0
"460",460,0
"461",461,0
"462",462,0
"463",463,0
"464",464,0
"465",465,0
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,0
"471",471,0
"472",472,0
"473",473,0
"474",474,0
"475",475,0
"476",476,0
"477",477,0
"478",478,0
"479",479,0
"480",480,0
"481",481,0
"482",482,0
"483",483,0
"484",484,0
"485",485,0
"486",486,0
"487",487,0
"488",488,0
"489",489,0
"490",490,0
"491",491,0
"492",492,0
"493",493,0
"494",494,0
"495",495,0
"496",496,0
