"","Element ID","/Layer_1/Non-ponded Ag. Actual ET (-)(AF/year)"
"1",1,0
"2",2,0
"3",3,1481.37274686003
"4",4,1378.42483610701
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,856.563305909273
"16",16,358.876379304253
"17",17,736.372097976705
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,0
"35",35,797.278982295933
"36",36,0
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,0
"62",62,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"67",67,0
"68",68,0
"69",69,0
"70",70,0
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,0
"81",81,0
"82",82,0
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,309.903654345347
"95",95,84.4327038273704
"96",96,0
"97",97,0
"98",98,0
"99",99,0
"100",100,355.512820874261
"101",101,0
"102",102,0
"103",103,248.026660794138
"104",104,0
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,0
"111",111,0
"112",112,0
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,0
"122",122,0
"123",123,0
"124",124,0
"125",125,396.885540344813
"126",126,108.371613440395
"127",127,0
"128",128,90.8412184136219
"129",129,92.0517165806899
"130",130,0
"131",131,133.906770248669
"132",132,0
"133",133,505.875219951394
"134",134,537.347255663102
"135",135,134.293004646327
"136",136,0
"137",137,289.15394099321
"138",138,0
"139",139,0
"140",140,0
"141",141,0
"142",142,0
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,252.1998504297
"156",156,496.714660345076
"157",157,221.383298980812
"158",158,276.434759536241
"159",159,0
"160",160,0
"161",161,0
"162",162,438.31791328909
"163",163,100.533301626531
"164",164,156.621491087937
"165",165,0
"166",166,0
"167",167,0
"168",168,0
"169",169,37.4212557863323
"170",170,145.296654148942
"171",171,159.707816456508
"172",172,0
"173",173,0
"174",174,0
"175",175,39.0445561445532
"176",176,178.636119611213
"177",177,0
"178",178,0
"179",179,0
"180",180,0
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,0
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,0
"192",192,0
"193",193,0
"194",194,0
"195",195,0
"196",196,0
"197",197,213.279085064405
"198",198,650.490965073107
"199",199,638.079118220903
"200",200,565.726082763395
"201",201,0
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,0
"207",207,155.391214410023
"208",208,120.850767084593
"209",209,134.35771735571
"210",210,0
"211",211,0
"212",212,0
"213",213,0
"214",214,0
"215",215,0
"216",216,0
"217",217,0
"218",218,0
"219",219,0
"220",220,0
"221",221,0
"222",222,0
"223",223,0
"224",224,0
"225",225,0
"226",226,0
"227",227,0
"228",228,0
"229",229,0
"230",230,0
"231",231,0
"232",232,0
"233",233,0
"234",234,0
"235",235,0
"236",236,0
"237",237,185.301307276377
"238",238,245.448496571173
"239",239,279.549684539734
"240",240,297.46853780866
"241",241,507.146746215432
"242",242,0
"243",243,0
"244",244,0
"245",245,0
"246",246,0
"247",247,0
"248",248,165.998873678616
"249",249,149.309287383629
"250",250,131.363240336453
"251",251,81.4507220568959
"252",252,0
"253",253,0
"254",254,0
"255",255,0
"256",256,0
"257",257,0
"258",258,0
"259",259,0
"260",260,0
"261",261,0
"262",262,0
"263",263,0
"264",264,0
"265",265,0
"266",266,0
"267",267,0
"268",268,0
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,0
"274",274,0
"275",275,0
"276",276,249.824057955097
"277",277,198.22694895109
"278",278,152.201461099014
"279",279,0
"280",280,389.239418140793
"281",281,394.972948955583
"282",282,219.742070151928
"283",283,0
"284",284,0
"285",285,0
"286",286,0
"287",287,0
"288",288,199.275879101312
"289",289,254.959161018423
"290",290,187.56673402578
"291",291,280.129172881247
"292",292,249.486795158645
"293",293,0
"294",294,0
"295",295,0
"296",296,0
"297",297,0
"298",298,0
"299",299,0
"300",300,0
"301",301,0
"302",302,0
"303",303,129.609175388951
"304",304,0
"305",305,184.010641721632
"306",306,384.212806644184
"307",307,0
"308",308,0
"309",309,0
"310",310,0
"311",311,0
"312",312,0
"313",313,0
"314",314,0
"315",315,0
"316",316,0
"317",317,0
"318",318,0
"319",319,0
"320",320,0
"321",321,0
"322",322,0
"323",323,0
"324",324,0
"325",325,0
"326",326,299.682264917993
"327",327,285.118330096116
"328",328,0
"329",329,151.05397425706
"330",330,133.36819253814
"331",331,141.921093854632
"332",332,83.7164121176707
"333",333,0
"334",334,300.466371997663
"335",335,219.672813382344
"336",336,142.442636225357
"337",337,0
"338",338,0
"339",339,0
"340",340,0
"341",341,0
"342",342,0
"343",343,0
"344",344,0
"345",345,0
"346",346,0
"347",347,193.952166736106
"348",348,0
"349",349,0
"350",350,0
"351",351,0
"352",352,510.730883442895
"353",353,0
"354",354,0
"355",355,0
"356",356,0
"357",357,0
"358",358,0
"359",359,0
"360",360,0
"361",361,0
"362",362,0
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,74.1530677228316
"373",373,0
"374",374,0
"375",375,0
"376",376,0
"377",377,0
"378",378,0
"379",379,0
"380",380,0
"381",381,266.832606910188
"382",382,300.061500627494
"383",383,68.0705421440314
"384",384,0
"385",385,0
"386",386,0
"387",387,0
"388",388,0
"389",389,0
"390",390,0
"391",391,0
"392",392,0
"393",393,0
"394",394,0
"395",395,0
"396",396,0
"397",397,0
"398",398,0
"399",399,0
"400",400,0
"401",401,835.445751918014
"402",402,263.292665745341
"403",403,940.596541785015
"404",404,0
"405",405,0
"406",406,0
"407",407,0
"408",408,0
"409",409,0
"410",410,0
"411",411,0
"412",412,0
"413",413,0
"414",414,0
"415",415,0
"416",416,0
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,410.65460539269
"422",422,316.470082555731
"423",423,282.875105248209
"424",424,0
"425",425,360.266727658143
"426",426,297.507435553459
"427",427,0
"428",428,0
"429",429,112.230164051727
"430",430,0
"431",431,0
"432",432,0
