"","Element ID","/Layer_1/Non-ponded Ag. Beginning Storage (+)(AF/year)"
"1",1,0
"2",2,0
"3",3,4712.08380578787
"4",4,4390.11688590337
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,2762.88480684269
"16",16,1056.80389466101
"17",17,2194.77831006767
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,0
"35",35,2454.27116930222
"36",36,0
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,0
"62",62,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"67",67,0
"68",68,0
"69",69,0
"70",70,0
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,0
"81",81,0
"82",82,0
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,926.583428133371
"95",95,191.670190461628
"96",96,0
"97",97,0
"98",98,0
"99",99,0
"100",100,780.937038989717
"101",101,0
"102",102,0
"103",103,481.49948786976
"104",104,0
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,0
"111",111,0
"112",112,0
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,0
"122",122,0
"123",123,0
"124",124,0
"125",125,1430.26513697327
"126",126,263.60151992035
"127",127,0
"128",128,378.87271236114
"129",129,325.255045367911
"130",130,0
"131",131,346.400406124394
"132",132,0
"133",133,1340.42887484411
"134",134,940.911701022189
"135",135,363.763514456607
"136",136,0
"137",137,559.376256490812
"138",138,0
"139",139,0
"140",140,0
"141",141,0
"142",142,0
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,724.836542496267
"156",156,1655.13676532454
"157",157,929.836193260514
"158",158,1066.57406977682
"159",159,0
"160",160,0
"161",161,0
"162",162,1135.94705482018
"163",163,293.112963058537
"164",164,397.681119610503
"165",165,0
"166",166,0
"167",167,0
"168",168,0
"169",169,113.727217695271
"170",170,324.27881063287
"171",171,350.164163519367
"172",172,0
"173",173,0
"174",174,0
"175",175,119.282520503278
"176",176,596.893418645819
"177",177,0
"178",178,0
"179",179,0
"180",180,0
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,0
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,0
"192",192,0
"193",193,0
"194",194,0
"195",195,0
"196",196,0
"197",197,560.081985516356
"198",198,1582.07442898944
"199",199,1451.58127734789
"200",200,1648.59429189369
"201",201,0
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,0
"207",207,558.175272286145
"208",208,277.605220280791
"209",209,414.23526118821
"210",210,0
"211",211,0
"212",212,0
"213",213,0
"214",214,0
"215",215,0
"216",216,0
"217",217,0
"218",218,0
"219",219,0
"220",220,0
"221",221,0
"222",222,0
"223",223,0
"224",224,0
"225",225,0
"226",226,0
"227",227,0
"228",228,0
"229",229,0
"230",230,0
"231",231,0
"232",232,0
"233",233,0
"234",234,0
"235",235,0
"236",236,0
"237",237,336.501215220347
"238",238,634.632699690833
"239",239,943.869281632791
"240",240,820.225617201198
"241",241,1528.85786679074
"242",242,0
"243",243,0
"244",244,0
"245",245,0
"246",246,0
"247",247,0
"248",248,395.494021288867
"249",249,310.440887784588
"250",250,384.45556968969
"251",251,163.746450010835
"252",252,0
"253",253,0
"254",254,0
"255",255,0
"256",256,0
"257",257,0
"258",258,0
"259",259,0
"260",260,0
"261",261,0
"262",262,0
"263",263,0
"264",264,0
"265",265,0
"266",266,0
"267",267,0
"268",268,0
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,0
"274",274,0
"275",275,0
"276",276,426.078017251777
"277",277,376.031138998601
"278",278,305.597895824763
"279",279,0
"280",280,1001.54608000961
"281",281,920.387720544339
"282",282,999.702630087282
"283",283,0
"284",284,0
"285",285,0
"286",286,0
"287",287,0
"288",288,613.02224927927
"289",289,648.120161660047
"290",290,471.228780402303
"291",291,812.442087108345
"292",292,613.262045216467
"293",293,0
"294",294,0
"295",295,0
"296",296,0
"297",297,0
"298",298,0
"299",299,0
"300",300,0
"301",301,0
"302",302,0
"303",303,274.311434355966
"304",304,0
"305",305,659.208263563511
"306",306,1650.5795474436
"307",307,0
"308",308,0
"309",309,0
"310",310,0
"311",311,0
"312",312,0
"313",313,0
"314",314,0
"315",315,0
"316",316,0
"317",317,0
"318",318,0
"319",319,0
"320",320,0
"321",321,0
"322",322,0
"323",323,0
"324",324,0
"325",325,0
"326",326,324.990910312477
"327",327,843.764828814804
"328",328,0
"329",329,544.421199836774
"330",330,564.134057319767
"331",331,627.346358895059
"332",332,214.645321982606
"333",333,0
"334",334,1151.14349282217
"335",335,739.629918397981
"336",336,359.657710193273
"337",337,0
"338",338,0
"339",339,0
"340",340,0
"341",341,0
"342",342,0
"343",343,0
"344",344,0
"345",345,0
"346",346,0
"347",347,508.847569884925
"348",348,0
"349",349,0
"350",350,0
"351",351,0
"352",352,2084.32976134846
"353",353,0
"354",354,0
"355",355,0
"356",356,0
"357",357,0
"358",358,0
"359",359,0
"360",360,0
"361",361,0
"362",362,0
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,167.464022355736
"373",373,0
"374",374,0
"375",375,0
"376",376,0
"377",377,0
"378",378,0
"379",379,0
"380",380,0
"381",381,812.215251861213
"382",382,838.149322077011
"383",383,174.600288245677
"384",384,0
"385",385,0
"386",386,0
"387",387,0
"388",388,0
"389",389,0
"390",390,0
"391",391,0
"392",392,0
"393",393,0
"394",394,0
"395",395,0
"396",396,0
"397",397,0
"398",398,0
"399",399,0
"400",400,0
"401",401,3469.53955328363
"402",402,1017.13038267007
"403",403,3251.38152800292
"404",404,0
"405",405,0
"406",406,0
"407",407,0
"408",408,0
"409",409,0
"410",410,0
"411",411,0
"412",412,0
"413",413,0
"414",414,0
"415",415,0
"416",416,0
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,833.792200777443
"422",422,567.919783922118
"423",423,516.743131945792
"424",424,0
"425",425,771.23250101421
"426",426,671.037389424858
"427",427,0
"428",428,0
"429",429,273.188551445422
"430",430,0
"431",431,0
